id,Time (Sec),Temperature (deg),K PID,Heater State,SETTINGS:,Time,Total Distance X (m),Total Distance Y (m),Heading (rad),Speed (m/min),Battery Voltage,deltaDistance
1,,,,,mX:,0.0,119.62,-24.78,-2.94,0.53,12.36,0.53
2,,,,,mY:,1.0,119.62,-24.78,-2.94,0.53,12.36,0.53
3,,,,,mHeading:,2.0,120.67,-24.99,2.96,0.53,12.24,0.53
4,,,,,Speed:,3.0,121.20,-25.19,2.58,0.53,12.30,0.53
5,,,,,Est-BatteryVolt:,4.0,122.25,-25.39,2.20,0.53,12.33,0.53
6,,,,,deltaDistance:,5.0,123.30,-25.59,1.82,0.53,12.33,0.53
7,,,,,,6.0,124.35,-25.79,1.45,0.53,12.35,0.53
8,,,,,,7.0,125.40,-25.99,1.07,0.53,12.39,0.53
9,,,,,,8.0,126.45,-26.09,0.87,0.53,12.30,0.53
10,,,,,,9.0,127.49,-26.30,0.49,0.53,12.33,0.54
11,,,,,,10.0,128.54,-26.50,0.10,0.53,12.38,0.53
12,,,,,,11.0,129.60,-26.70,-0.27,0.54,12.35,0.54
13,,,,,,12.0,130.65,-26.90,-0.65,0.53,12.38,0.53
14,,,,,,13.0,131.70,-27.10,-1.03,0.53,12.38,0.53
15,,,,,,14.0,132.22,-27.31,-1.42,0.53,12.35,0.53
16,,,,,,15.0,133.27,-27.51,-1.80,0.53,12.35,0.53
17,,,,,,16.0,134.32,-27.72,-2.18,0.53,12.36,0.53
18,,,,,,17.0,135.36,-27.92,-2.57,0.53,12.36,0.53
19,,,,,,18.0,136.41,-28.13,-2.96,0.53,12.39,0.53
20,,,,,,19.0,137.46,-28.34,2.93,0.53,12.35,0.53
21,,,,,,20.0,138.51,-28.44,2.73,0.53,12.29,0.53
22,,,,,,21.0,139.55,-28.65,2.34,0.53,12.29,0.53
23,,,,,,22.0,140.60,-28.86,1.95,0.53,12.27,0.53
24,,,,,,23.0,141.65,-29.07,1.56,0.53,12.29,0.53
25,,,,,,24.0,142.70,-29.27,1.16,0.53,12.29,0.53
26,,,,,,25.0,143.22,-29.48,0.78,0.53,12.36,0.53
27,,,,,,26.0,144.27,-29.68,0.39,0.53,12.41,0.53
28,,,,,,27.0,145.32,-29.88,0.01,0.54,12.41,0.54
29,,,,,,28.0,146.37,-30.08,-0.36,0.53,12.41,0.53
30,,,,,,29.0,147.42,-30.28,-0.73,0.53,12.41,0.53
31,,,,,,30.0,148.47,-30.49,-1.12,0.53,12.39,0.53
32,,,,,,31.0,149.52,-30.59,-1.31,0.53,12.36,0.53
33,,,,,,32.0,150.57,-30.79,-1.70,0.53,12.33,0.53
34,,,,,,33.0,151.62,-31.00,-2.08,0.53,12.33,0.53
35,,,,,,34.0,152.67,-31.20,-2.46,0.53,12.35,0.53
36,,,,,,35.0,153.72,-31.40,-2.83,0.53,12.32,0.53
37,,,,,,36.0,154.77,-31.60,3.07,0.54,12.33,0.53
38,,,,,,37.0,155.29,-31.80,2.70,0.53,12.39,0.53
39,,,,,,38.0,156.34,-32.00,2.31,0.53,12.38,0.53
40,,,,,,39.0,157.39,-32.20,1.93,0.53,12.41,0.53
41,,,,,,40.0,158.44,-32.40,1.57,0.53,12.41,0.53
42,,,,,,41.0,159.50,-32.59,1.20,0.53,12.41,0.53
43,,,,,,42.0,160.55,-32.79,0.83,0.54,12.43,0.54
44,,,,,,43.0,161.04,-32.89,0.61,0.45,12.45,0.05
