id,Time (Sec),Temperature (deg),K PID,Heater State,SETTINGS:
1,0.0,32.62,15,10,Celsius:
2,1.0,32.62,15,10,PID:
3,2.0,32.62,15,10,Heater:
4,3.0,32.62,15,10,-
5,4.0,32.62,15,10,-
6,5.0,32.62,15,10,-
7,6.0,32.62,15,10,
8,7.0,32.50,15,10,
9,8.0,32.62,15,10,
10,9.0,32.62,15,10,
11,10.0,32.62,15,10,
12,11.0,32.62,15,10,
13,12.0,32.62,15,10,
14,13.0,32.62,15,10,
15,14.0,32.62,13,10,
16,15.0,32.62,14,10,
17,16.0,32.62,15,10,
18,17.0,32.62,15,10,
19,18.0,32.62,15,10,
20,19.0,32.62,15,10,
21,20.0,32.50,15,10,
22,21.0,32.50,15,10,
23,22.0,32.62,15,10,
24,23.0,32.50,15,10,
25,24.0,32.50,15,10,
26,25.0,32.50,15,10,
27,26.0,32.62,15,10,
28,27.0,32.62,15,10,
29,28.0,32.74,15,10,
30,29.0,32.74,15,10,
31,30.0,32.74,15,10,
32,31.0,32.74,13,10,
33,32.0,32.74,14,10,
34,33.0,32.62,15,10,
35,34.0,32.62,15,10,
36,35.0,32.62,15,10,
37,36.0,32.62,15,10,
38,37.0,32.62,15,10,
39,38.0,32.62,15,10,
40,39.0,32.62,15,10,
41,40.0,32.62,15,10,
42,41.0,32.74,15,10,
43,42.0,32.74,15,10,
44,43.0,32.74,15,10,
45,44.0,32.74,15,10,
46,45.0,32.74,15,10,
47,46.0,32.74,15,10,
48,47.0,32.86,15,10,
49,48.0,32.74,13,10,
50,49.0,32.74,14,10,
51,50.0,32.62,15,10,
52,51.0,32.62,15,10,
53,52.0,32.74,15,10,
54,53.0,32.74,15,10,
55,54.0,32.74,15,10,
56,55.0,32.74,15,10,
57,56.0,32.74,15,10,
58,57.0,32.74,15,10,
59,58.0,32.86,15,10,
60,59.0,32.74,15,10,
61,60.0,32.86,15,10,
62,61.0,32.74,15,10,
63,62.0,32.74,15,10,
64,63.0,32.74,15,10,
65,64.0,32.74,15,10,
66,65.0,32.74,13,10,
67,66.0,32.74,14,10,
68,67.0,32.74,15,10,
69,68.0,32.74,15,10,
70,69.0,32.74,15,10,
71,70.0,32.74,15,10,
72,71.0,32.86,15,10,
73,72.0,32.74,15,10,
74,73.0,32.86,15,10,
75,74.0,32.74,15,10,
76,75.0,32.74,15,10,
77,76.0,32.74,15,10,
78,77.0,32.74,15,10,
79,78.0,32.74,15,10,
80,79.0,32.74,15,10,
81,80.0,32.74,15,10,
82,81.0,32.74,15,10,
83,82.0,32.74,13,10,
84,83.0,32.74,14,10,
85,84.0,32.74,15,10,
86,85.0,32.74,15,10,
87,86.0,32.86,15,10,
88,87.0,32.86,15,10,
89,88.0,32.74,15,10,
90,89.0,32.74,15,10,
91,90.0,32.74,15,10,
92,91.0,32.74,15,10,
93,92.0,32.62,15,10,
94,93.0,32.62,15,10,
95,94.0,32.62,15,10,
96,95.0,32.74,15,10,
97,96.0,32.74,15,10,
98,97.0,32.74,15,10,
99,98.0,32.74,15,10,
100,99.0,32.74,13,10,
101,100.0,32.74,14,10,
102,101.0,32.86,15,10,
103,102.0,32.86,15,10,
104,103.0,32.86,15,10,
105,104.0,32.74,15,10,
106,105.0,32.74,15,10,
107,106.0,32.74,15,10,
108,107.0,32.74,15,10,
109,108.0,32.74,15,10,
110,109.0,32.74,15,10,
111,110.0,32.74,15,10,
112,111.0,32.74,15,10,
113,112.0,32.74,15,10,
114,113.0,32.86,15,10,
115,114.0,32.86,15,10,
116,115.0,32.86,15,10,
117,116.0,32.86,13,10,
118,117.0,32.86,14,10,
119,118.0,32.86,15,10,
120,119.0,32.86,15,10,
121,120.0,32.74,15,10,
122,121.0,32.74,15,10,
123,122.0,32.86,15,10,
124,123.0,32.86,15,10,
