id,Time,Temperature,SETTINGS:
1,0.0,41.88,Celsius:
2,1.0,41.88,-
3,2.0,41.88,-
4,3.0,41.88,-
5,4.0,41.58,-
6,5.0,40.24,-
7,6.0,38.81,
8,7.0,37.43,
9,8.0,36.37,
10,9.0,35.46,
11,10.0,34.70,
12,11.0,33.71,
13,12.0,33.22,
14,13.0,32.74,
15,14.0,32.38,
16,15.0,31.91,
17,16.0,31.68,
18,17.0,31.22,
19,18.0,30.99,
20,19.0,30.99,
21,20.0,30.87,
22,21.0,30.76,
23,22.0,30.64,
24,23.0,30.42,
25,24.0,30.42,
26,25.0,30.42,
27,26.0,30.19,
28,27.0,30.30,
29,28.0,30.08,
30,29.0,30.19,
31,30.0,30.08,
32,31.0,29.97,
33,32.0,30.08,
34,33.0,30.08,
35,34.0,30.19,
36,35.0,30.08,
37,36.0,30.08,
38,37.0,30.19,
39,38.0,29.97,
40,39.0,30.08,
41,40.0,30.08,
42,41.0,29.97,
43,42.0,29.97,
44,43.0,30.08,
45,44.0,29.97,
46,45.0,30.08,
47,46.0,29.86,
